"eventid","eventname","subtype","cuisine","price","openWeek","closeWeek","openSat","closeSat","openSun","closeSun","eventlength","popularity","longitude","latitude"
229,"Eastern Food Bazaar","dinner","Asian",1,"9","22","9","22","9","22",1,3,18.42192,-33.9288
231,"Tiger's Milk Restaurant & Bar","dinner","Steakhouse",2,"16","2","16","2","16","2",1.5,1,18.399517,-33.9021373
233,"Charango Grill and Bar","dinner","Latin American",3,"6","23","6","23","6","23",2,1,18.8500952,-34.0851753
235,"Royale Eatery","dinner","Burger",3,"12","23","12","23","12","23",2,3,18.5149529,-33.892772
237,"Mondiall","dinner","Seafood",3,"9","11","9","11","9","11",2,2,NA,NA
239,"The Dog's Bollocks at YARD","dinner","Burger",1,"17","22","17","22","17","22",1,3,18.4638251,-33.9795513
241,"South China Dim Sum Bar","dinner","Asian",1,"24","15","24","15","24","15",1,2,18.4129022,-33.929752
243,"La Parada","dinner","Spanish",2,"12","2","12","2","12","2",1.5,3,18.4541499,-33.971556
245,"Willoughby & Co.","dinner","Seafood",3,"12","22","12","22","12","22",2,3,-122.2913078,37.8271784
247,"The Black Sheep Restaurant","dinner","European",3,"18","22","18","22","18","22",2,2,NA,NA
249,"Il Leone","dinner","Italian",3,"12","15","12","15","12","15",2,2,18.4072207,-33.9346556
251,"Nuri Sushi Factory","dinner","Japanese",2,"11","21","11","21","11","21",1.5,3,18.4213655,-33.9197979
253,"Haiku","dinner","Japanese",3,"12","15","12","15","12","15",2,2,18.38201,-33.92145
255,"Sotano","dinner","European",2,"7","23","7","23","7","23",1.5,2,18.42086,-33.91955
257,"IYO Burgers (Inside & You're Out)","dinner","Burger",2,"17","22","17","22","17","22",1.5,3,18.41209,-33.9281999
259,"Homespun","dinner","South African",3,"18","23","18","23","18","23",2,2,18.41358,-33.9255799
261,"Gibson's Gourmet Burgers & Ribs","dinner","Burger",2,"11","22","11","22","11","22",1.5,3,18.464752,-33.98186
263,"Pigalle","dinner","Seafood",3,"12",NA,"12","NA","12","NA",2,3,18.4161928,-33.9271325
265,"Pancho's","dinner","Mexican",1,NA,"12","NA","12","NA","12",1,3,18.4167037,-33.9223534
267,"The Five Guys Eatery","dinner","Burger",2,"11","23","11","23","11","23",1.5,1,18.4171771,-33.9223513
269,"Ocean Basket","dinner","Seafood",3,"11","22","11","22","11","22",2,1,18.41477,-33.92453
